"","X","Ess","Length","PSum","fEss"
"461",461,4.2,40,0.961322730446663,0.962217989346561
"462",462,4.2,35,0.961322730032404,0.962119343943432
"463",463,4.2,30,0.961322725438196,0.96198781673926
"464",464,4.2,25,0.961322674487153,0.961803678653419
"465",465,4.2,20,0.961322109370421,0.961527471524658
"466",466,4.2,15,0.961315834622928,0.961067126310056
"467",467,4.2,10,0.961245310548245,0.960146435880852
"468",468,4.2,5,0.960339029519701,0.957384364593239
"469",469,4.4,45,0.965557727805479,0.967142893204927
"470",470,4.4,40,0.965557727776049,0.967070377148641
"471",471,4.4,35,0.965557727449659,0.96697714221913
"472",472,4.4,30,0.965557723829936,0.966852828979783
"473",473,4.4,25,0.965557683686189,0.966678790444696
"474",474,4.4,20,0.965557238435318,0.966417732642067
"475",475,4.4,15,0.965552294386871,0.965982636304351
"476",476,4.4,10,0.965496698066612,0.965112443628918
"477",477,4.4,5,0.964778159283405,0.962501865602622
"478",478,4.6,45,0.969364273949867,0.971448601603755
"479",479,4.6,40,0.969364273926727,0.971380312625712
"480",480,4.6,35,0.969364273670099,0.971292512511085
"481",481,4.6,30,0.969364270824055,0.971175445691583
"482",482,4.6,25,0.969364239260602,0.971011552144281
"483",483,4.6,20,0.969363889175879,0.970765711823327
"484",484,4.6,15,0.969360001670964,0.970355977955069
"485",485,4.6,10,0.969316263914357,0.969536510218556
"486",486,4.6,5,0.968747747403092,0.967078107009014
"487",487,4.8,45,0.972782124444166,0.975264974326656
"488",488,4.8,40,0.972782124426006,0.975200895504087
"489",489,4.8,35,0.972782124224611,0.975118508446498
"490",490,4.8,30,0.972782121991109,0.975008659036379
"491",491,4.8,25,0.972782097220919,0.974854869862213
"492",492,4.8,20,0.972781822482249,0.974624186100964
"493",493,4.8,15,0.972778771515775,0.974239713165549
"494",494,4.8,10,0.972744427961067,0.973470767294719
"495",495,4.8,5,0.972295457286547,0.971163929682228
"496",496,5,45,0.975847046758817,0.978639643285198
"497",497,5,40,0.975847046744591,0.978579724585791
"498",498,5,35,0.975847046586816,0.978502686257982
"499",499,5,30,0.975847044837064,0.978399968487569
"500",500,5,25,0.9758470254318,0.978256163608991
"501",501,5,20,0.97584681019735,0.978040456291124
"502",502,5,15,0.97584441991458,0.97768094409468
"503",503,5,10,0.975817499646406,0.976961919701791
"504",504,5,5,0.97546354957549,0.974804846523124
"505",505,3.5,45,0.94240742987589,0.94010365555301
"506",506,3.5,40,0.94240742979151,0.940012920993439
"507",507,3.5,35,0.942407428855724,0.93989626227399
"508",508,3.5,30,0.942407418477694,0.939740717314725
"509",509,3.5,25,0.9424073033826,0.939522954371755
"510",510,3.5,20,0.942406026839073,0.939196309957299
"511",511,3.5,15,0.942391855064449,0.938651902599872
"512",512,3.5,10,0.942232858405505,0.937563087885018
"513",513,3.5,5,0.940229920131354,0.934296643740456
"514",514,4.5,45,0.967511967756929,0.969360092569185
"515",515,4.5,40,0.967511967730826,0.969289689986277
"516",516,4.5,35,0.967511967441341,0.969199172379681
"517",517,4.5,30,0.967511964230892,0.969078482237553
"518",518,4.5,25,0.967511928626099,0.968909516038573
"519",519,4.5,20,0.967511533717829,0.968656066740105
"520",520,4.5,15,0.967507148571459,0.968233651242656
"521",521,4.5,10,0.967457824543979,0.96738882024776
