"","Ess","Sum05","Sum10","Sum25","Sum50","Sum75","Sum100","Sum150","Sum200","Sum250","Sum300","Sum400","Sum500","Sum750","Sum1000","fEss"
"1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0314563575112055
"2",0.05,0.112366976966199,0.154343051731887,0.211591291414004,0.254690293727541,0.279526773882962,0.296931955645996,0.321125693949458,0.338038917053017,0.351009008322319,0.361508470830059,0.377894932513669,0.390452539921033,0.412928947871066,0.428610096967486,0.467846346289538
"3",0.1,0.217031361927767,0.294202771229848,0.395667030686208,0.469170153771497,0.510402548703537,0.538807673462537,0.577620703151966,0.604290393168339,0.624483944159639,0.640666614967105,0.665629122304501,0.684516587347819,0.71779761922915,0.740617943367435,0.777848200033113
"4",0.15,0.314495347531361,0.420911495500662,0.555805578444433,0.6498313316612,0.701172147928881,0.735940446301932,0.78264164356265,0.814182844654834,0.837763077502805,0.856469794792117,0.88499047855633,0.906296688133166,0.943257606092291,0.968165354339643,0.986057025967545
"5",0.2,0.405228266131813,0.535677446685172,0.695113948884979,0.80203827135205,0.858864506606789,0.896693517108049,0.946644104730256,0.979802489722904,1.00427820700267,1.02350006793352,1.05246593836314,1.07383033728365,1.1103184176285,1.13448426754195,1.13342783267449
"6",0.25,0.489668761245866,0.639596398721511,0.816290246064154,0.930293863852113,0.989262448632604,1.02784981478574,1.07793843894681,1.11061882614949,1.13443645427144,1.15295332276582,1.18053317627944,1.2006172091835,1.23438832265847,1.25636937226372,1.24166556155508
"7",0.3,0.568226814333404,0.733662242193672,0.921677812380638,1.03837842534557,1.09712440948685,1.13491153495059,1.18313112029375,1.21405255630102,1.2363029291067,1.25342727035319,1.27863745366915,1.29676282396414,1.32677004631663,1.34596439945884,1.32333278009412
"8",0.35,0.6412856366019,0.818776551667332,1.01331219023858,1.12946622605582,1.18636666654935,1.22234287988307,1.26747523694477,1.29592017960805,1.31612923824213,1.33152597680626,1.3539303624176,1.36983386851251,1.39575694681357,1.41205259151057,1.38619580395109
"9",0.4,0.709203434877314,0.895757249928997,1.09296185157356,1.20622319768406,1.26021311340442,1.29376674499097,1.33514882770785,1.36078203978212,1.37876265301497,1.39232365380977,1.4118285064521,1.42549787689457,1.44743639636394,1.46098898441353,1.43530805204049
"10",0.45,0.772315059976169,0.965346454596377,1.16216352306137,1.27088886090358,1.32131836073537,1.35212409169691,1.38947592067235,1.41221479573116,1.42796288819096,1.43972047812263,1.45643601479796,1.46800164243906,1.48627858058393,1.49737392963967,1.47409511287943
"11",0.5,0.830933545446192,1.02821758446834,1.22225282482767,1.32534502281081,1.37186891601556,1.39980308787845,1.43310207219166,1.45302473058558,1.46664735697315,1.47671558009829,1.49086407959742,1.50052902378159,1.51556803690329,1.52453968301249,1.50495818566617
"12",0.55,0.885351544013748,1.08498179565155,1.27439084509519,1.37117338211263,1.41366634742518,1.43874375303885,1.46813377487168,1.48541474798615,1.4970810548352,1.50561648737901,1.51747262073636,1.52546855420958,1.53771994026062,1.54490194945612,1.52962802763936
"13",0.6,0.935842668582896,1.13619381086464,1.31958719049927,1.40970383432093,1.4481956415357,1.47052275651862,1.49624917399764,1.51111511392509,1.52102357674858,1.5281998191309,1.53805305955199,1.54461359598965,1.55451192253789,1.56021386875646,1.54938192940093
