"","Ess","Sum2000"
"1",-5,-5275386774.5
"2",-4,-4745478.16064453
"3",-3,-5338.06641960144
"4",-2,-21.6368993925862
"5",-1,-2.05142333382787
"6",0,0
"7",0.05,0.0531059539376542
"8",0.1,0.103586225008816
"9",0.15,0.151591198489035
"10",0.2,0.19725991606198
"11",0.25,0.240721218179569
"12",0.3,0.282094742772858
"13",0.35,0.321491801441821
"14",0.4,0.35901615075773
"15",0.45,0.394764673452495
"16",0.5,0.428827981920293
"17",0.55,0.461290954519256
"18",0.6,0.492233213556993
"19",0.65,0.521729552510718
"20",0.7,0.54985031892097
"21",0.75,0.576661758467501
"22",0.8,0.602226324954587
"23",0.85,0.626602960274543
"24",0.9,0.649847347861965
"25",0.95,0.672012142679231
"26",1,0.693147180372729
"27",1.05,0.713299667896936
"28",1.1,0.732514357611045
"29",1.15,0.750833706601531
"30",1.2,0.768298022768391
"31",1.25,0.784945599026787
"32",1.3,0.800812836814764
"33",1.35,0.81593435995856
"34",1.4,0.83034311982603
"35",1.45,0.844070492593225
"36",1.5,0.857146369357533
"37",1.55,0.869599239750158
"38",1.6,0.881456269630724
"39",1.65,0.892743373384559
"40",1.7,0.903485281289296
"41",1.75,0.913705602369239
"42",1.8,0.923426883113676
"43",1.85,0.932670662398068
"44",1.9,0.941457522913572
"45",1.95,0.949807139381251
"46",2,0.957738323800707
"47",2.2,0.985627096839374
"48",2.4,1.00812845475742
"49",2.5,1.01763629241524
"50",2.55,1.02199756838742
"51",2.6,1.0261121318031
"52",2.65,1.02999068407154
"53",2.7,1.03364348283649
"54",2.75,1.03708036136582
"55",2.8,1.04031074697842
"56",2.85,1.04334367856557
"57",2.9,1.04618782325984
"58",2.95,1.04885149230144
"59",3,1.05134265614726
"60",3.2,1.05973052883375
"61",3.4,1.06591658226903
"62",3.6,1.07027516711187
"63",3.8,1.07312323067949
"64",4,1.0747290619525
"65",4.2,1.07531963343339
"66",4.4,1.07508678846111
"67",4.6,1.07419247229628
"68",4.8,1.0727731667271
"69",5,1.07094365799968
"70",6,1.05850884273963
"71",7,1.04504689463627
"72",8,1.03333084947759
"73",9,1.02404727857915
"74",10,1.01705677843463
